time (s)	coil I (A)	last det (V)	int current (uC)
425750.565734	0.187427	-536.621094	32.714844
425750.567736	0.186827	2.055098	0.176335
425751.581730	0.187044	-234.082031	-43.066406
425751.583733	0.186455	2.051003	0.244536
425752.661787	0.188405	-521.191406	22.558594
425752.663788	0.187633	2.063960	0.193902
425753.643815	0.175059	-225.976562	-115.820312
425753.645815	0.187307	-225.976562	-115.820312
425753.647816	0.186593	2.052519	0.207080
425754.760352	0.186928	-515.820312	27.441406
425754.762356	0.186246	2.048708	0.191779
425755.708928	0.187663	-230.761719	-93.652344
425755.710929	0.187360	2.060956	0.210477
425756.857008	0.186913	-522.656250	28.125000
425756.859010	0.186178	2.047963	0.339099
425757.839017	0.187473	-230.761719	-24.414062
425757.841019	0.186834	2.055169	0.231358
425758.921027	0.186945	-531.054687	29.882812
425758.923028	0.186146	2.047609	0.206070
425759.937092	0.187107	-228.222656	-52.929687
425759.939093	0.186413	2.050542	0.301030
425760.985126	0.189110	-527.148437	28.710937
425760.987130	0.188330	2.071635	0.187600
425762.003199	0.186097	-227.343750	-107.421875
425762.005201	0.185524	2.040767	0.211118
425763.115768	0.188261	-507.324219	20.410156
425763.117769	0.187622	2.063845	0.204528
425764.098298	0.187559	-219.042969	-93.750000
425764.100300	0.186775	2.054530	0.218171
425765.179261	0.188108	-515.429687	29.394531
425765.181264	0.187318	2.060495	0.181670
425766.163229	0.187041	-227.734375	-101.953125
425766.165233	0.186351	2.049860	0.420947
425767.276180	0.188031	-516.601562	29.785156
425767.278182	0.187451	2.061966	0.189307
425768.260181	0.186923	-225.683594	-83.496094
425768.262183	0.186202	2.048220	0.312134
425769.374745	0.187408	-517.968750	31.347656
425769.376747	0.186726	2.053990	0.588788
425770.357675	0.188227	-223.828125	-80.761719
425770.359676	0.187578	2.063357	0.224154
425771.472686	0.186766	-512.500000	27.929687
425771.474689	0.186196	2.048158	0.210611
425772.420700	0.188491	-229.882812	-105.078125
425772.422701	0.187988	2.067868	0.194442
425773.534761	0.189205	-515.527344	27.343750
425773.536762	0.188868	2.077546	0.193117
425774.518758	0.187133	-228.515625	-106.542969
425774.520759	0.186489	2.051384	0.208315
425775.634823	0.186380	-506.250000	16.503906
425775.636823	0.185857	2.044427	0.212522
425776.648801	0.187012	-223.535156	-58.984375
425776.650803	0.186359	2.049948	0.312548
425777.696816	0.188019	-526.464844	27.441406
425777.698816	0.187197	2.059165	0.197582
425778.712773	0.186885	-244.238281	-60.644531
425778.714775	0.186108	2.047192	0.224703
425779.828837	0.186889	-523.535156	27.441406
425779.830838	0.186400	2.050400	0.197317
425780.777377	0.187097	-244.140625	-54.492187
425780.779379	0.186423	2.050649	0.223165
425781.925373	0.186346	-516.894531	28.027344
425781.927373	0.185731	2.043045	0.201703
425782.874356	0.187494	-227.343750	-72.363281
425782.876356	0.186705	2.053751	0.231959
425783.988383	0.187395	-511.816406	23.144531
425783.990384	0.186631	2.052944	0.211661
425784.972398	0.187070	-236.132812	-112.402344
425784.974400	0.186445	2.050897	0.209566
425786.052379	0.189006	-526.660156	27.734375
425786.054381	0.188300	2.071298	0.204848
425787.068432	0.188697	-246.386719	-54.980469
425787.070434	0.187917	2.067088	0.233003
425788.184471	0.186293	-526.367187	27.832031
425788.186474	0.185788	2.043665	0.203590
425789.133041	0.187302	-245.312500	-67.382812
425789.135043	0.186494	2.051429	0.241084
425790.282080	0.186628	-506.933594	23.828125
425790.284083	0.186135	2.047485	0.217419
425791.230640	0.187140	-233.984375	-104.687500
425791.232642	0.186467	2.051136	0.211997
425792.342646	0.166689	-512.890625	19.726562
425792.344647	0.186844	-512.890625	19.726562
425792.346648	0.186123	2.047352	0.227137
425793.326678	0.187620	-241.406250	-85.351562
425793.328679	0.187033	2.057366	0.212132
425794.410729	0.187944	-530.078125	29.492187
425794.412730	0.187496	2.062453	0.201965
425795.424701	0.187654	-243.750000	-27.148437
425795.426703	0.186907	2.055975	0.249429
425796.538685	0.186974	-520.214844	25.976562
425796.540685	0.186171	2.047884	0.207128
425797.488745	1.288823	-238.769531	-56.933594
425797.490749	0.187654	2.064190	0.244600
425798.604783	0.186298	-519.531250	33.886719
425798.606783	0.185770	2.043470	0.189404
425799.585401	0.190216	-226.171875	-76.855469
425799.587402	0.189656	2.086213	0.222617
425800.699437	0.187406	-510.351562	21.777344
425800.703438	0.186203	2.048238	0.223630
425801.685454	0.186637	-232.421875	-88.183594
425801.687456	0.186137	2.047503	0.245855
425802.763526	0.187107	-522.265625	25.976562
425802.765528	0.188103	2.069135	0.220051
425803.782105	0.187902	-240.820312	-65.820312
425803.784108	0.187348	2.060822	0.239572
425804.860188	0.174442	-526.367187	27.539062
425804.862189	0.187005	-526.367187	27.539062
425804.864189	0.186396	2.050356	0.212477
425805.876253	0.183210	-242.871094	-37.207031
425805.880252	0.187125	2.058377	0.246596
425806.962297	0.186042	-524.121094	26.562500
425806.964298	0.185639	2.042026	0.215958
425807.976325	0.186655	-243.359375	-23.339844
425807.978326	0.186106	2.047166	0.264738
425809.056907	0.187386	-523.144531	26.953125
425809.058910	0.186796	2.054761	0.221062
425810.038960	0.186668	-251.953125	-41.406250
425810.040963	0.185960	2.045562	0.242095
425811.119032	0.180575	-535.546875	36.132812
425811.121034	0.187821	-535.546875	36.132812
425811.123033	0.187152	2.058669	0.198675
425812.135025	0.184726	-251.367187	-41.601562
425812.137027	0.187771	2.065484	0.255115
425813.219055	0.187323	-526.074219	29.492187
425813.221057	0.186732	2.054052	0.213167
425814.233029	0.188753	-242.382812	-22.558594
425814.235030	0.187994	2.067930	0.265234
425815.315069	0.188208	-526.855469	28.808594
425815.317069	0.187575	2.063322	0.220036
425816.330064	0.187406	-236.035156	-22.851562
425816.332065	0.186734	2.054070	0.250843
425817.380062	0.187310	-521.093750	25.390625
425817.382064	0.186765	2.054415	0.208495
425818.394079	0.186965	-241.699219	-77.343750
425818.396080	0.186839	2.055230	0.225480
425819.476100	0.186830	-511.230469	19.726562
425819.478103	0.186056	2.046616	0.218739
425820.492132	0.186791	-232.128906	-77.539062
425820.494134	0.185999	2.045987	0.248956
425821.572680	0.188786	-510.253906	25.097656
425821.574680	0.188292	2.071209	0.212706
425822.556745	0.189043	-233.496094	-60.058594
425822.558746	0.188316	2.071475	0.244464
425823.670760	0.186730	-515.722656	30.078125
425823.672762	0.186049	2.046536	0.206277
425824.652767	0.187377	-243.847656	-35.253906
425824.654770	0.187099	2.058093	0.263549
425825.768812	0.188481	-525.976562	30.273437
425825.770815	0.187932	2.067248	0.218040
425826.749755	0.187976	-255.273437	-37.500000
425826.751756	0.188608	2.074692	0.245371
425827.834320	0.186749	-519.824219	25.585937
425827.836322	0.186222	2.048442	0.240312
425828.848353	0.187086	-239.355469	-49.804687
425828.850356	0.186402	2.050427	0.415030
425829.933266	0.185774	-502.929687	16.894531
425829.935267	0.185324	2.038561	0.231743
425830.911301	0.186778	-236.035156	-78.613281
425830.913302	0.187318	2.060495	0.233815
425832.027306	0.186580	-507.031250	27.148437
425832.029309	0.185921	2.045136	0.214379
425833.007825	0.171636	-236.816406	-42.871094
425833.009828	0.187832	-236.816406	-42.871094
425833.011827	0.187081	2.057889	0.259878
425834.123848	0.188032	-518.750000	30.468750
425834.125850	0.187226	2.059484	0.219965
425835.106458	0.186735	-250.390625	-23.242187
425835.108458	0.185904	2.044941	0.259476
425836.187450	0.189842	-527.148437	32.714844
425836.189451	0.189091	2.080001	0.215409
425837.203490	0.187600	-250.878906	-29.199219
425837.205489	0.186748	2.054229	0.265489
425838.285546	0.186634	-515.820312	25.390625
425838.287548	0.185952	2.045473	0.421585
425839.299497	0.179767	-236.816406	-50.585937
425839.301501	0.186937	-236.816406	-50.585937
425839.303501	0.186299	2.049284	0.262763
425840.383517	0.186588	-500.878906	17.089844
425840.385520	0.185942	2.045358	0.236452
425841.366074	0.187733	-238.671875	-79.882812
425841.368076	0.187153	2.058678	0.247194
425842.478676	0.188459	-496.679687	19.335937
425842.480676	0.187897	2.066867	0.231949
425843.462706	0.187625	-233.398437	-49.707031
425843.464708	0.186972	2.056693	0.265013
425844.575259	0.183795	-499.023437	22.265625
425844.577261	0.188360	2.071963	0.232050
425845.527246	0.187539	-246.777344	-55.273437
425845.531246	0.186263	2.048894	0.247368
425846.673882	0.187899	-503.027344	24.316406
425846.675885	0.187190	2.059094	0.236979
425847.624449	0.186482	-244.921875	-29.492187
425847.626451	0.185830	2.044135	0.435821
425848.738501	0.187107	-512.988281	28.027344
425848.740502	0.186395	2.050347	0.362485
