time (s)	coil I (A)	last det (V)	int current (uC)
425361.774316	0.187171	-314.648437	-74.707031
425361.776319	0.186635	2.052988	0.188351
425362.756286	0.186914	-407.031250	141.406250
425362.758289	0.186203	2.048229	0.315897
425363.840348	0.185938	-312.890625	-80.664062
425363.842350	0.185478	2.040253	0.168363
425364.852365	0.188857	-402.246094	144.824219
425364.854366	0.188211	2.070323	0.176953
425365.934446	0.186547	-313.281250	-79.785156
425365.936446	0.185770	2.043470	0.184969
425366.950521	0.188097	-395.605469	147.363281
425366.952522	0.187426	2.061682	0.197658
425368.031082	0.189209	-310.156250	-81.933594
425368.033083	0.188363	2.071998	0.182660
425369.047119	0.187125	-381.640625	155.761719
425369.049119	0.186272	2.048991	0.203850
425370.129193	0.187400	-306.445312	-84.765625
425370.131195	0.186698	2.053679	0.193846
425371.111726	0.187895	-403.222656	135.156250
425371.113727	0.187140	2.058536	0.183589
425372.227753	0.186501	-301.269531	-86.718750
425372.229754	0.185918	2.045101	0.179824
425373.208324	0.189188	-392.675781	140.625000
425373.210324	0.188414	2.072556	0.183602
425374.292437	0.189367	-297.949219	-94.335937
425374.294444	0.188876	2.077634	0.191302
425375.306403	0.187481	-379.980469	146.972656
425375.308404	0.186774	2.054513	0.343884
425376.386460	0.187004	-294.433594	-97.753906
425376.388468	0.187078	2.057863	0.166777
425377.370488	0.187507	-400.000000	131.640625
425377.372489	0.186831	2.055142	0.189113
425378.487039	0.186530	-295.019531	-97.265625
425378.489041	0.185999	2.045987	0.415519
425379.467031	0.187762	-391.308594	142.675781
425379.469031	0.186987	2.056852	0.198262
425380.581109	0.192825	-297.656250	-92.382812
425380.583112	0.192029	2.112321	0.166459
425381.532115	0.188853	-390.820312	146.582031
425381.534116	0.188183	2.070013	0.173463
425382.678132	0.187763	-302.832031	-84.863281
425382.680135	0.187837	2.066211	0.165408
425383.628725	0.189127	-385.253906	153.515625
425383.630728	0.188420	2.072618	0.198606
425384.775224	0.189384	-311.328125	-77.050781
425384.777226	0.189005	2.079052	0.176763
425385.725782	0.188204	-376.171875	161.132812
425385.727783	0.187418	2.061602	0.206232
425386.839878	0.187576	-315.234375	-75.976562
425386.843876	0.186158	2.047733	0.169254
425387.823933	0.187543	-380.175781	160.156250
425387.825932	0.186887	2.055762	0.194099
425388.936513	0.187515	-317.285156	-75.683594
425388.938516	0.188221	2.070429	0.178689
425389.919517	0.186231	-382.812500	159.375000
425389.921518	0.187108	2.058191	0.205870
425391.002514	0.188144	-319.726562	-73.632812
425391.004517	0.187510	2.062613	0.492167
425392.016556	0.185010	-385.546875	158.691406
425392.018558	0.187010	2.057109	0.205563
425393.100619	0.188256	-319.824219	-74.511719
425393.102621	0.187653	2.064181	0.187889
425394.082731	0.187732	-414.746094	136.425781
425394.084732	0.187094	2.058031	0.182571
425395.197708	0.186415	-319.531250	-76.953125
425395.199713	0.185859	2.044454	0.186487
425396.178638	1.946574	-409.179687	139.843750
425396.180641	0.187981	2.067788	0.189705
425397.259550	0.186734	-317.578125	-77.148437
425397.261553	0.187621	2.063836	0.173568
425398.277605	0.187245	-382.031250	158.984375
425398.279606	0.186704	2.053742	0.201936
425399.357657	0.187178	-314.941406	-80.664062
425399.359659	0.186399	2.050392	0.180992
425400.372607	0.187813	-389.257812	153.125000
425400.374608	0.187953	2.067487	0.205300
425401.455171	0.187557	-314.453125	-79.296875
425401.457174	0.186813	2.054938	0.185739
425402.470062	0.187404	-386.230469	155.273437
425402.472062	0.186657	2.053228	0.206945
425403.552107	0.187265	-316.796875	-74.316406
425403.554108	0.186493	2.051420	0.196327
425404.536155	0.186605	-411.523437	135.839844
425404.538154	0.186009	2.046102	0.191039
425405.615158	0.183873	-316.308594	-78.515625
425405.617159	0.187855	2.066406	0.174118
425406.631207	0.187183	-386.621094	155.273437
425406.633209	0.188100	2.069100	0.197169
425407.715287	0.186658	-319.238281	-76.660156
425407.717289	0.186194	2.048132	0.184550
425408.729826	0.187111	-391.992187	151.367187
425408.731827	0.186399	2.050392	0.384453
425409.809826	0.186523	-320.214844	-75.000000
425409.811830	0.186534	2.051872	0.187401
425410.795839	0.187096	-408.105469	139.941406
425410.797841	0.186572	2.052288	0.190859
425411.906352	0.175199	-321.777344	-74.511719
425411.908354	0.187095	-321.777344	-74.511719
425411.910354	0.186410	2.050507	0.187244
425412.890358	0.188266	-393.945312	150.585937
425412.892360	0.187605	2.063658	0.200901
425414.006931	0.187160	-321.386719	-71.191406
425414.008933	0.186662	2.053281	0.194453
425414.986935	0.185756	-372.753906	165.039062
425414.988936	0.187791	2.065697	0.223002
425416.100999	0.184714	-319.824219	-71.777344
425416.103004	0.187499	2.062489	0.199236
425417.055041	0.186321	-399.121094	142.675781
425417.057043	0.185790	2.043692	0.477026
425418.169065	0.187628	-312.988281	-80.078125
425418.171067	0.187161	2.058767	0.172912
425419.148076	0.175555	-382.617187	153.027344
425419.150080	0.187500	-382.617187	153.027344
425419.152077	0.186823	2.055053	0.216594
425420.262636	0.186135	-308.789062	-82.031250
425420.264638	0.187670	2.064368	0.166262
425421.247196	0.187312	-375.585937	157.617187
425421.249196	0.186584	2.052421	0.226996
425422.361216	0.187721	-302.832031	-86.425781
425422.363219	0.187021	2.057233	0.182148
425423.311203	0.187219	-388.769531	143.457031
425423.313205	0.186535	2.051881	0.196979
425424.429255	0.185904	-298.339844	-93.066406
425424.431258	0.185448	2.039925	0.167374
425425.409273	0.186670	-380.273437	148.828125
425425.411275	0.186116	2.047281	0.763255
425426.521297	0.185549	-296.875000	-94.433594
425426.523298	0.187088	2.057969	0.181280
425427.505356	0.187225	-396.289062	130.371094
425427.507357	0.186452	2.050968	0.207701
425428.619433	0.187505	-296.191406	-95.800781
425428.621434	0.186771	2.054486	0.192122
425429.603974	0.186851	-377.636719	145.800781
425429.605976	0.186253	2.048779	0.203255
425430.684038	0.187416	-297.851562	-97.460937
425430.686038	0.186704	2.053742	0.185033
425431.700620	0.187115	-384.765625	141.406250
425431.702622	0.186452	2.050968	0.688388
425432.785193	0.185989	-301.757812	-88.378906
425432.787197	0.185602	2.041618	0.192298
425433.799256	0.186467	-378.417969	148.339844
425433.801257	0.185974	2.045712	0.345341
425434.877811	0.187369	-304.980469	-86.621094
425434.879816	0.186592	2.052510	0.206562
425435.895876	0.186565	-371.289062	155.566406
425435.897876	0.186017	2.046191	0.230090
425436.944400	0.188848	-306.347656	-87.890625
425436.946404	0.188356	2.071918	0.187551
425437.958457	0.187207	-394.042969	139.550781
425437.962457	0.185950	2.045455	0.202206
425439.040474	0.188275	-308.593750	-86.035156
425439.042476	0.187628	2.063907	0.193340
425440.055040	0.188535	-388.281250	145.117187
425440.057041	0.187716	2.064882	0.207921
425441.137078	0.187913	-309.472656	-81.152344
425441.139079	0.187131	2.058439	0.206202
425442.153101	0.186900	-375.000000	156.933594
425442.155102	0.186186	2.048043	0.348512
425443.235144	0.186716	-310.156250	-81.835937
425443.237146	0.186139	2.047529	0.202247
425444.251674	0.188546	-368.847656	160.937500
425444.253678	0.188069	2.068754	0.224818
425445.297680	0.187638	-308.691406	-85.742187
425445.299684	0.187332	2.060654	0.190920
425446.313675	0.187354	-399.804687	133.496094
425446.315677	0.186668	2.053343	0.204539
425447.394208	0.179346	-305.664062	-87.207031
425447.400208	0.185782	-305.664062	-87.207031
425447.402210	0.185342	2.038764	0.192452
425448.410246	0.186340	-382.812500	145.117187
425448.412248	0.189099	2.080089	0.219248
425449.494298	0.186799	-302.636719	-90.722656
425449.496300	0.186157	2.047724	0.199652
425450.507311	0.184802	-378.320312	146.386719
425450.509313	0.188956	2.078521	0.226475
425451.589885	0.187291	-300.000000	-92.089844
425451.591887	0.186498	2.051473	0.208867
425452.571892	0.185366	-387.304687	136.425781
425452.573893	0.186568	2.052244	0.209932
425453.685973	0.185745	-297.460937	-89.843750
425453.687977	0.187312	2.060433	0.204241
425454.670084	0.187285	-377.148437	145.996094
425454.672087	0.186491	2.051402	0.225427
425455.750087	0.183625	-297.558594	-94.238281
425455.752088	0.190965	-297.558594	-94.238281
425455.754088	0.190364	2.094003	0.181818
425456.766076	0.184681	-358.593750	164.453125
425456.768076	0.187413	2.061540	0.248186
425457.848171	0.188391	-298.046875	-94.824219
425457.850173	0.187575	2.063322	0.177271
425458.834208	0.186749	-372.558594	155.371094
425458.836210	0.186308	2.049390	0.490610
425459.946208	0.187348	-301.562500	-86.230469
425459.948211	0.186671	2.053378	0.175174
425460.930268	0.186927	-376.562500	152.734375
425460.932269	0.186323	2.049550	0.239192
425462.041244	0.169509	-305.273437	-81.738281
425462.043249	0.187422	-305.273437	-81.738281
425462.045247	0.186704	2.053742	0.181048
425462.991795	0.180835	-386.328125	146.582031
425462.993797	0.187779	-386.328125	146.582031
425462.995798	0.187214	2.059351	0.205024
425464.139812	0.187881	-311.914062	-75.097656
425464.141813	0.187064	2.057703	0.198864
425465.091879	0.186349	-393.066406	143.554687
425465.093880	0.185826	2.044091	0.219682
425466.204421	0.187613	-315.820312	-75.390625
425466.206424	0.186835	2.055186	0.177687
425467.186466	0.185988	-385.742187	151.660156
425467.188466	0.186823	2.055053	0.218068
425468.303049	0.186338	-320.117187	-72.363281
425468.305051	0.185791	2.043701	0.197035
425469.285581	0.186829	-380.468750	157.519531
425469.287583	0.186137	2.047503	0.226122
425470.397679	0.186983	-322.753906	-69.531250
425470.399682	0.188436	2.072796	0.204510
425471.381744	0.187259	-382.324219	157.226562
425471.383747	0.186458	2.051039	0.236486
425472.461754	0.180480	-323.828125	-71.289062
425472.463754	0.187493	-323.828125	-71.289062
425472.465753	0.186928	2.056205	0.188282
425473.477801	0.184365	-363.183594	173.437500
425473.479802	0.186614	2.052758	0.244372
425474.559844	0.188572	-323.242187	-72.558594
425474.561847	0.187773	2.065502	0.202204
425475.541850	0.176836	-397.851562	145.605469
425475.543853	0.187232	-397.851562	145.605469
425475.545853	0.186589	2.052474	0.211498
425476.655850	0.172489	-323.242187	-69.433594
425476.657851	0.187422	-323.242187	-69.433594
425476.661849	0.186290	2.049195	0.204004
425477.639948	0.188777	-402.636719	141.503906
425477.641949	0.188075	2.068825	0.218335
425478.722025	0.187417	-322.851562	-72.949219
425478.724027	0.186666	2.053325	0.190511
425479.738049	0.302931	-373.535156	165.527344
425479.740052	0.187531	2.062843	0.229544
425480.820044	0.186294	-322.656250	-73.242187
425480.822045	0.185692	2.042610	0.823444
425481.837007	0.186548	-377.929687	162.109375
425481.839009	0.186009	2.046102	0.255650
425482.917544	0.187866	-323.730469	-70.019531
425482.919547	0.187372	2.061089	0.209797
425483.899522	0.186796	-399.609375	143.945312
425483.901525	0.186091	2.046998	0.330863
425485.013603	0.186882	-323.242187	-68.945312
425485.015605	0.186220	2.048415	0.299384
425485.995644	0.188561	-381.738281	157.324219
425485.997646	0.187978	2.067762	0.220758
425487.077694	0.188257	-324.218750	-71.679687
425487.079698	0.187542	2.062967	0.189938
425488.093720	0.187332	-373.535156	164.746094
425488.095722	0.186643	2.053077	0.276242
425489.175771	0.188120	-323.535156	-72.265625
425489.179771	0.187149	2.058634	0.196020
425490.158335	0.186871	-406.640625	136.035156
425490.160336	0.186199	2.048194	0.412519
425491.270396	0.173725	-323.632812	-71.289062
425491.272399	0.187777	-323.632812	-71.289062
425491.274399	0.187107	2.058182	0.200915
425492.258482	0.186001	-385.644531	151.660156
425492.260484	0.185615	2.041760	0.230637
425493.369060	0.187574	-321.191406	-71.777344
425493.371063	0.186801	2.054814	0.205526
425494.353125	0.189192	-375.195312	158.105469
425494.355125	0.188585	2.074435	0.243816
425495.465683	0.188938	-318.457031	-73.437500
425495.467687	0.188208	2.070287	0.208619
425496.415726	0.188828	-389.160156	145.117187
425496.419725	0.188069	2.068763	0.218003
425497.563780	0.187397	-313.769531	-74.218750
425497.565780	0.186705	2.053759	0.334285
425498.513840	0.187385	-377.246094	152.832031
425498.515843	0.186667	2.053334	0.228808
425499.627924	0.187218	-310.156250	-80.468750
425499.629925	0.186526	2.051783	0.191418
425500.610005	0.187301	-374.316406	153.027344
425500.612006	0.187083	2.057916	0.259283
425501.724539	0.188284	-305.468750	-84.863281
425501.726541	0.187536	2.062896	0.194603
425502.707521	0.188609	-361.523437	162.597656
425502.709522	0.187862	2.066477	0.252505
425503.821607	0.188591	-301.855469	-87.109375
425503.823607	0.187757	2.065325	0.207084
425504.803643	0.175619	-354.296875	167.773437
425504.805643	0.187165	-354.296875	167.773437
425504.807644	0.186487	2.051358	0.258528
425505.885742	0.188646	-299.902344	-93.164062
425505.887745	0.188281	2.071094	0.198613
425506.901758	0.188361	-356.738281	162.597656
425506.903760	0.187592	2.063508	0.264263
425507.983796	0.187700	-298.632812	-94.921875
425507.985797	0.186961	2.056569	0.206359
425508.965794	0.186759	-380.078125	138.769531
425508.967796	0.186848	2.055328	0.222324
425510.079810	0.186778	-300.390625	-89.257812
425510.081813	0.187418	2.061602	0.224413
425511.065840	0.186682	-392.480469	129.003906
425511.067843	0.186216	2.048371	0.232237
425512.143869	0.181989	-302.636719	-92.089844
425512.145873	0.187278	-302.636719	-92.089844
425512.147871	0.186632	2.052953	0.208494
425513.161911	0.186640	-386.132812	134.570312
425513.163911	0.185961	2.045571	0.742242
425514.243978	0.187339	-304.199219	-86.621094
425514.245980	0.186792	2.054716	0.215210
425515.258030	0.187855	-365.820312	154.394531
425515.260031	0.187070	2.057774	0.242989
425516.340054	0.187521	-305.371094	-84.863281
425516.342053	0.186775	2.054522	0.492453
425517.356082	0.188835	-369.824219	153.417969
425517.358083	0.188222	2.070438	0.254465
425518.404709	0.187995	-307.714844	-88.183594
425518.406710	0.187304	2.060344	0.208139
425519.419675	0.187040	-396.582031	129.785156
425519.421676	0.186295	2.049248	0.226441
425520.500629	0.190627	-308.203125	-84.277344
425520.502629	0.189812	2.087932	0.214383
425521.516655	0.187277	-388.769531	134.960937
425521.518657	0.186492	2.051411	0.236189
425522.598658	0.187020	-307.031250	-84.179687
425522.600661	0.186277	2.049045	0.431696
425523.613146	0.188765	-369.335937	152.441406
425523.615150	0.188675	2.075428	0.253575
425524.695174	0.187192	-306.640625	-86.035156
425524.697176	0.186375	2.050126	0.226943
425525.714100	0.186174	-366.894531	153.515625
425525.716101	0.185850	2.044348	0.251861
425526.760647	0.187161	-304.687500	-90.429687
425526.762651	0.186576	2.052332	0.209211
425527.776649	0.186735	-387.109375	133.398437
425527.778652	0.186108	2.047192	0.231285
425528.857213	0.187278	-303.808594	-92.285156
425528.859214	0.186580	2.052377	0.312714
425529.871779	0.187992	-375.390625	142.773437
425529.873781	0.188164	2.069800	0.243731
425530.954356	0.188323	-301.074219	-92.187500
425530.956359	0.187605	2.063658	0.218002
425531.968928	0.187888	-355.566406	161.328125
425531.970930	0.188069	2.068763	0.270132
425533.051059	0.186970	-299.511719	-92.187500
425533.053062	0.186269	2.048956	0.219226
425534.035076	0.187490	-369.921875	147.460937
425534.037079	0.186901	2.055913	0.240984
425535.147058	0.183372	-300.292969	-90.527344
425535.149057	0.187555	2.063100	0.216346
425536.133119	0.186655	-371.679687	146.875000
425536.135120	0.186083	2.046909	0.261564
425537.248108	0.186330	-299.902344	-84.765625
425537.250110	0.185884	2.044720	0.521241
425538.198127	0.186676	-389.160156	132.812500
425538.200128	0.186196	2.048158	0.360592
425539.310667	0.188684	-304.101562	-85.644531
425539.314667	0.187576	2.063339	0.187392
425540.294717	0.186379	-376.953125	147.265625
425540.296719	0.185840	2.044241	0.252795
425541.409253	0.187961	-307.714844	-81.835937
425541.413254	0.187161	2.058767	0.195250
425542.389827	0.190468	-361.132812	164.355469
425542.391829	0.189746	2.087206	0.261680
425543.507869	0.186582	-312.500000	-77.246094
425543.509871	0.186042	2.046457	0.216728
425544.486402	0.188543	-363.476562	162.597656
425544.490407	0.187628	2.063907	0.263832
425545.600969	0.187385	-315.429687	-72.753906
425545.602973	0.186544	2.051987	0.220170
425546.550966	0.189835	-388.085937	141.992187
425546.552968	0.189154	2.080692	0.235148
425547.699038	0.186645	-318.652344	-70.019531
425547.701040	0.186017	2.046182	0.504470
425548.649018	0.188119	-369.921875	161.035156
425548.651021	0.187437	2.061806	0.309953
425549.763059	0.186685	-322.070312	-72.363281
425549.765059	0.185942	2.045367	0.220390
425550.747598	0.186946	-379.785156	152.929687
425550.749599	0.186440	2.050835	0.258407
425551.862182	0.186808	-323.535156	-70.312500
425551.864186	0.186269	2.048956	0.223938
425552.842211	0.187965	-370.312500	161.425781
425552.844216	0.187657	2.064226	0.261667
425553.956778	0.187934	-325.097656	-68.457031
425553.958780	0.187081	2.057889	0.244367
425554.909350	0.186931	-392.773437	144.238281
425554.911353	0.186388	2.050267	0.226304
425556.021381	0.188463	-326.464844	-70.410156
425556.025380	0.187144	2.058589	0.218224
425557.005433	0.186947	-394.726562	142.382812
425557.007435	0.186350	2.049851	0.235979
425558.117986	0.190559	-327.246094	-69.726562
425558.119991	0.190062	2.090680	0.230370
425559.100502	0.184273	-376.953125	157.324219
425559.102502	0.187762	2.065387	0.242563
425560.216997	0.188544	-325.488281	-67.871094
425560.218998	0.187986	2.067850	0.240948
425561.198989	0.187073	-370.312500	162.695312
425561.200990	0.186394	2.050330	0.260567
425562.279040	0.184922	-327.148437	-70.703125
425562.281041	0.187512	2.062630	0.213718
425563.295067	0.187278	-361.621094	170.214844
425563.297069	0.187705	2.064757	0.264497
425564.379110	0.187073	-327.734375	-70.898437
425564.381112	0.186463	2.051092	0.223555
425565.359682	1.869933	-375.488281	157.812500
425565.361683	0.188453	2.072982	0.235005
425566.479741	0.185712	-325.390625	-68.750000
425566.481745	0.185348	2.038826	0.224903
425567.459826	0.186468	-378.222656	154.687500
425567.461828	0.185927	2.045198	0.293105
425568.570382	0.182431	-325.585937	-69.921875
425568.572385	0.187253	2.059786	0.236937
425569.554981	0.187073	-368.945312	161.621094
425569.556983	0.186354	2.049896	0.310519
425570.669523	0.187183	-322.656250	-69.238281
425570.671525	0.186555	2.052102	0.237405
425571.618086	0.186533	-382.421875	149.609375
425571.620089	0.187417	2.061585	0.225021
425572.732088	0.185996	-321.386719	-72.460937
425572.734090	0.188013	2.068143	0.217441
425573.716623	0.186633	-376.171875	152.441406
425573.718625	0.185934	2.045269	0.362011
425574.830693	0.186984	-317.675781	-73.437500
425574.832694	0.186316	2.049479	0.309769
425575.814734	0.186568	-368.359375	157.714844
425575.816736	0.186046	2.046510	0.268261
425576.929314	0.186245	-314.355469	-75.292969
425576.931317	0.185653	2.042185	0.233037
425577.912274	0.187139	-356.445312	167.089844
425577.914274	0.186615	2.052767	0.285371
425579.024879	0.187631	-309.570312	-75.878906
425579.028880	0.186399	2.050392	0.249786
425579.976924	0.186684	-388.867187	134.667969
425579.978923	0.186135	2.047485	0.249905
425581.088937	0.187338	-308.398437	-81.445312
425581.090937	0.186497	2.051464	0.211778
425582.074967	0.186535	-376.171875	143.847656
425582.076969	0.185992	2.045916	0.724747
425583.187910	0.186692	-305.957031	-85.449219
425583.189913	0.186158	2.047742	0.227063
425584.170471	0.186882	-356.054687	161.816406
425584.172473	0.186363	2.049993	0.268014
425585.282472	0.187082	-302.929687	-86.718750
425585.284475	0.187037	2.057411	0.236874
425586.266487	0.187750	-350.878906	164.843750
